city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Mumbai,2010-04-25,Chennai Super Kings,175.0,SK Raina,1,2010,bat,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai Indians,Chennai Super Kings
Chennai,2011-04-08,Chennai Super Kings,176.0,S Anirudha,1,2011,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings
Hyderabad,2011-04-09,Deccan Chargers,177.0,SK Trivedi,1,2011,field,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Rajasthan Royals
Kochi,2011-04-09,Kochi Tuskers Kerala,178.0,AB de Villiers,1,2011,bat,Kochi Tuskers Kerala,Nehru Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai,2011-04-10,Pune Warriors,179.0,SB Wagh,1,2011,bat,Kings XI Punjab,Dr DY Patil Sports Academy,Kings XI Punjab,Pune Warriors
Delhi,2011-04-10,Delhi Daredevils,180.0,SL Malinga,1,2011,bat,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,Mumbai Indians
Kolkata,2011-04-11,Kolkata Knight Riders,181.0,JH Kallis,1,2011,bat,Kolkata Knight Riders,Eden Gardens,Deccan Chargers,Kolkata Knight Riders
Jaipur,2011-04-12,Rajasthan Royals,182.0,SK Warne,1,2011,bat,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals
Bangalore,2011-04-12,Royal Challengers Bangalore,183.0,SR Tendulkar,1,2011,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Mumbai,2011-04-13,Pune Warriors,184.0,MD Mishra,1,2011,bat,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,Pune Warriors
