match_id,date,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,dl_applied,winner,player_of_match
636,2017-05-21,Hyderabad,2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",1,0,Mumbai Indians,KH Pandya
637,2019-03-23 00:00:00,Chennai,2019,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",1,0,Chennai Super Kings,Harbhajan Singh
638,2019-03-24 00:00:00,Kolkata,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Eden Gardens,1,0,Kolkata Knight Riders,AD Russell
639,2019-03-24 00:00:00,Mumbai,2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Wankhede Stadium,1,0,Delhi Capitals,RR Pant
640,2019-03-25 00:00:00,Jaipur,2019,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Sawai Mansingh Stadium,1,0,Kings XI Punjab,CH Gayle
641,2019-03-26 00:00:00,Delhi,2019,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla,1,0,Chennai Super Kings,SR Watson
642,2019-03-27 00:00:00,Kolkata,2019,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens,1,0,Kolkata Knight Riders,AD Russell
643,2019-03-28 00:00:00,Bengaluru,2019,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium,1,0,Mumbai Indians,JJ Bumrah
644,2019-03-29 00:00:00,Hyderabad,2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,Rashid Khan
645,2019-03-30 00:00:00,Chandigarh,2019,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Kings XI Punjab,MA Agarwal
646,2019-03-30 00:00:00,Delhi,2019,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Feroz Shah Kotla,2,0,Delhi Capitals,PP Shaw
647,2019-03-31 00:00:00,Hyderabad,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,JM Bairstow
648,2019-03-31 00:00:00,Chennai,2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,"MA Chidambaram Stadium, Chepauk",1,0,Chennai Super Kings,MS Dhoni
649,2019-04-01 00:00:00,Chandigarh,2019,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Kings XI Punjab,SM Curran
650,2019-04-02 00:00:00,Jaipur,2019,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,1,0,Rajasthan Royals,S Gopal
651,2019-04-03 00:00:00,Mumbai,2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,1,0,Mumbai Indians,HH Pandya
652,2019-04-04 00:00:00,Delhi,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,1,0,Sunrisers Hyderabad,JM Bairstow
653,2019-04-05 00:00:00,Bengaluru,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,M.Chinnaswamy Stadium,1,0,Kolkata Knight Riders,AD Russell
654,2019-04-06 00:00:00,Chennai,2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,0,Chennai Super Kings,Harbhajan Singh
