player_code,player_id,full_name,country,role,batting_style,bowling_style,born
K Rabada,550215,,South Africa,Bowler,Left-hand bat,Right-arm fast,"
May 25, 1995, Johannesburg "
BJ Rohrer,7547,,Australia,Middle-order batsman,Left-hand bat,,"
March 26, 1981, Bankstown, New South Wales "
JJ Roy,298438,,England,Opening batsman,Right-hand bat,,"
July 21, 1990, Durban, South Africa "
AD Russell,276298,,West Indies,Allrounder,Right-hand bat,Right-arm fast,"
April 29, 1988, Jamaica "
SE Rutherford,914541,,West Indies,Middle-order batsman,Left-hand bat,Right-arm fast-medium,"
August 15, 1998 "
AM Salvi,34264,,India,Bowler,Right-hand bat,Right-arm medium,"
October 20, 1981, Bombay (now Mumbai), Maharashtra "
SV Samson,425943,,India,Wicketkeeper batsman,Right-hand bat,,"
November 11, 1994, Pulluvila, Vizhinjam, Trivandrum "
MN Samuels,52983,,West Indies,Top-order batsman,Right-hand bat,Right-arm offbreak,"
February 5, 1981, Kingston, Jamaica "
GS Sandhu,499660,,Australia,Bowler,Left-hand bat,Right-arm fast-medium,"
June 14, 1993, Blacktown, New South Wales "
PJ Sangwan,279545,,India,Bowler,Right-hand bat,Left-arm medium,"
November 5, 1990, Rasiwas, Delhi "
V Sehwag,35263,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
October 20, 1978, Delhi "
PP Shaw,1070168,,India,Opening batsman,Right-hand bat,Right-arm offbreak,"
November 9, 1999, Thane, Maharashtra "
Shoaib Malik,42657,,Pakistan,Allrounder,Right-hand bat,Right-arm offbreak,"
February 1, 1982, Sialkot, Punjab "
LR Shukla,34019,,India,Allrounder,Right-hand bat,Right-arm medium,"
May 6, 1981, Howrah (now Haora), Bengal "
R Shukla,390547,,India,,Right-hand bat,Right-arm medium,"
August 28, 1990, Jharkhand "
S Sriram,34118,,India,Middle-order batsman,Left-hand bat,Slow left-arm orthodox,"
February 21, 1976, Madras (now Chennai), Tamil Nadu "
MP Stoinis,325012,,Australia,Middle-order batsman,Right-hand bat,Right-arm medium,"
August 16, 1989, Perth "
J Suchith,527663,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
January 16, 1994, Mysore "
AP Tare,333904,,India,Wicketkeeper,Right-hand bat,,"
November 7, 1987, Bombay (now Mumbai), Maharashtra "
LRPL Taylor,38699,,New Zealand,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
March 8, 1984, Lower Hutt, Wellington "
R Tewatia,423838,,India,Bowler,Left-hand bat,Legbreak,"
May 20, 1993, Sihi, Haryana "
MK Tiwary,35565,,India,Batsman,Right-hand bat,Legbreak googly,"
November 14, 1985, Howrah, Bengal "
SS Tiwary,35390,,India,Top-order batsman,Left-hand bat,,"
December 30, 1989, Jamshedpur, Bihar "
JD Unadkat,390484,,India,Bowler,Right-hand bat,Left-arm medium,"
October 18, 1991, Porbandar "
RE van der Merwe,47850,,Netherlands,Allrounder,Right-hand bat,Slow left-arm orthodox,"
December 31, 1984, Johannesburg, Transvaal "
DL Vettori,38710,,New Zealand,Allrounder,Left-hand bat,Slow left-arm orthodox,"
January 27, 1979, Auckland "
GH Vihari,452044,,India,Batting allrounder,Right-hand bat,Right-arm offbreak,"
October 13, 1993, Kakinada, Andhra Pradesh "
MS Wade,230193,,Australia,Wicketkeeper batsman,Left-hand bat,Right-arm medium,"
December 26, 1987, Hobart, Tasmania "
DA Warner,219889,,Australia,Opening batsman,Left-hand bat,Legbreak,"
October 27, 1986, Paddington, New South Wales "
